Index,Film,Release_Date,US_Canada_BO,Other_Territories_BO,Worldwide_BO,US_Rank,WW_Rank,Budget,Phase,Budget_min,Budget_max,Budget_avg,Release_Year,Release_Month,ROI,Profit,US_Percent,Intl_Percent
1.0,Iron Man,2008-05-02,319034126,266762121,585796247,89,190,140,Phase 1,140000000.0,140000000.0,140000000.0,2008,5,3.18,445796247.0,54.46,45.54
2.0,The Incredible Hulk,2008-06-13,134806913,129964083,264770996,494,625,137.5-150,Phase 1,137500000.0,150000000.0,143750000.0,2008,6,0.84,121020996.0,50.91,49.09
3.0,Iron Man 2,2010-05-07,312433331,311500000,623933331,95,172,170-200,Phase 1,170000000.0,200000000.0,185000000.0,2010,5,2.37,438933331.0,50.07,49.93
4.0,Thor,2011-05-06,181030624,268295994,449326618,280,290,150,Phase 1,150000000.0,150000000.0,150000000.0,2011,5,2.0,299326618.0,40.29,59.71
5.0,Captain America: The First Avenger,2011-07-22,176654505,193915269,370569774,298,394,140,Phase 1,140000000.0,140000000.0,140000000.0,2011,7,1.65,230569774.0,47.67,52.33
6.0,The Avengers,2012-05-04,623357910,897180626,1520538536,12,10,220,Phase 1,220000000.0,220000000.0,220000000.0,2012,5,5.91,1300538536.0,41.0,59.0
7.0,Iron Man 3,2013-05-03,409013994,806563211,1215577205,39,25,200,Phase 2,200000000.0,200000000.0,200000000.0,2013,5,5.08,1015577205.0,33.65,66.35
8.0,Thor: The Dark World,2013-11-08,206362140,438421000,644783140,222,164,150-170,Phase 2,150000000.0,170000000.0,160000000.0,2013,11,3.03,484783140.0,32.0,68.0
9.0,Captain America: The Winter Soldier,2014-04-04,259766572,454654931,714421503,134,134,170-177,Phase 2,170000000.0,177000000.0,173500000.0,2014,4,3.12,540921503.0,36.36,63.64
10.0,Guardians of the Galaxy,2014-08-01,333718600,439631547,773350147,79,114,170,Phase 2,170000000.0,170000000.0,170000000.0,2014,8,3.55,603350147.0,43.15,56.85
11.0,Avengers: Age of Ultron,2015-05-01,459005868,946012180,1405018048,25,15,250-444,Phase 2,250000000.0,444000000.0,347000000.0,2015,5,3.05,1058018048.0,32.67,67.33
12.0,Ant-Man,2015-07-17,180202163,339109802,519311965,283,233,130,Phase 2,130000000.0,130000000.0,130000000.0,2015,7,2.99,389311965.0,34.7,65.3
13.0,Captain America: Civil War,2016-05-06,408084349,746962067,1155046416,42,29,250,Phase 3,250000000.0,250000000.0,250000000.0,2016,5,3.62,905046416.0,35.33,64.67
14.0,Doctor Strange,2016-11-04,232641920,445154156,677796076,174,155,165,Phase 3,165000000.0,165000000.0,165000000.0,2016,11,3.11,512796076.0,34.32,65.68
15.0,Guardians of the Galaxy Vol. 2,2017-05-05,389813101,473942950,863756051,50,88,200,Phase 3,200000000.0,200000000.0,200000000.0,2017,5,3.32,663756051.0,45.13,54.87
16.0,Spider-Man: Homecoming,2017-07-07,334201140,545965784,880166924,80,78,175,Phase 3,175000000.0,175000000.0,175000000.0,2017,7,4.03,705166924.0,37.97,62.03
17.0,Thor: Ragnarok,2017-11-03,315058289,540243517,855301806,97,92,180,Phase 3,180000000.0,180000000.0,180000000.0,2017,11,3.75,675301806.0,36.84,63.16
18.0,Black Panther,2018-02-16,700426566,674533163,1374959729,6,17,200,Phase 3,200000000.0,200000000.0,200000000.0,2018,2,5.87,1174959729.0,50.94,49.06
19.0,Avengers: Infinity War,2018-04-27,678815482,1373599557,2052415039,8,6,325-400,Phase 3,325000000.0,400000000.0,362500000.0,2018,4,4.66,1689915039.0,33.07,66.93
20.0,Ant-Man and the Wasp,2018-07-06,216648740,406025399,622674139,204,179,162,Phase 3,162000000.0,162000000.0,162000000.0,2018,7,2.84,460674139.0,34.79,65.21
21.0,Captain Marvel,2019-03-08,426829839,704586607,1131416446,33,33,150-175,Phase 3,150000000.0,175000000.0,162500000.0,2019,3,5.96,968916446.0,37.73,62.27
22.0,Avengers: Endgame,2019-04-26,858373000,1941066100,2799439100,2,2,356-400,Phase 3,356000000.0,400000000.0,378000000.0,2019,4,6.41,2421439100.0,30.66,69.34
23.0,Spider-Man: Far From Home,2019-07-02,391283774,746838016,1138121790,49,32,160,Phase 3,160000000.0,160000000.0,160000000.0,2019,7,6.11,978121790.0,34.38,65.62
24.0,Black Widow,2021-07-09,183651655,196100000,379751655,290,409,200,Phase 4,200000000.0,200000000.0,200000000.0,2021,7,0.9,179751655.0,48.36,51.64
25.0,Shang-Chi and the Legend of the Ten Rings,2021-09-03,224543292,207700000,432243292,193,331,150-200,Phase 4,150000000.0,200000000.0,175000000.0,2021,9,1.47,257243292.0,51.95,48.05
26.0,Eternals,2021-11-05,164870234,237194665,402064899,370,377,236.2,Phase 4,236200000.0,236200000.0,236200000.0,2021,11,0.7,165864899.0,41.01,58.99
27.0,Spider-Man: No Way Home,2021-12-17,814866759,1113174146,1928040905,3,7,200,Phase 4,200000000.0,200000000.0,200000000.0,2021,12,8.64,1728040905.0,42.26,57.74
28.0,Doctor Strange in the Multiverse of Madness,2022-05-06,411331607,544444197,955775804,44,68,172-200,Phase 4,172000000.0,200000000.0,186000000.0,2022,5,4.14,769775804.0,43.04,56.96
29.0,Thor: Love and Thunder,2022-07-08,343256830,417671251,760928081,77,123,250,Phase 4,250000000.0,250000000.0,250000000.0,2022,7,2.04,510928081.0,45.11,54.89
30.0,Black Panther: Wakanda Forever,2022-11-11,453829060,405379776,859208836,30,93,250,Phase 4,250000000.0,250000000.0,250000000.0,2022,11,2.44,609208836.0,52.82,47.18
31.0,Ant-Man and the Wasp: Quantumania,2023-02-17,214504909,261566271,476071180,223,286,388.4,Phase 5,388400000.0,388400000.0,388400000.0,2023,2,0.23,87671180.0,45.06,54.94
32.0,Guardians of the Galaxy Vol. 3,2023-05-05,358995815,486559962,845555777,70,99,250,Phase 5,250000000.0,250000000.0,250000000.0,2023,5,2.38,595555777.0,42.46,57.54
33.0,The Marvels,2023-11-10,84500223,121636602,206136825,1031,922,375,Phase 5,375000000.0,375000000.0,375000000.0,2023,11,-0.45,-168863175.0,40.99,59.01
34.0,Deadpool & Wolverine,2024-07-26,636745858,701327787,1338073645,12,21,200,Phase 5,200000000.0,200000000.0,200000000.0,2024,7,5.69,1138073645.0,47.59,52.41
35.0,Captain America: Brave New World,2025-02-14,200500001,214601576,415101577,254,358,180,Phase 5,180000000.0,180000000.0,180000000.0,2025,2,1.31,235101577.0,48.3,51.7
36.0,Thunderbolts*,2025-05-02,190274328,192162589,382436917,275,411,180,Phase 5,180000000.0,180000000.0,180000000.0,2025,5,1.12,202436917.0,49.75,50.25
37.0,The Fantastic Four: First Steps,2025-07-25,274286610,247572118,521858728,136,253,200,Phase 6,200000000.0,200000000.0,200000000.0,2025,7,1.61,321858728.0,52.56,47.44
38.0,Avengers: Doomsday,2026-05-01,950000000,2850000000,4100000000,4,4,356-400,Phase 6,356000000.0,400000000.0,378000000.0,2026,5,9.85,3722000000.0,23.17,69.51
